
Reza Marzban
The following sort functions are done on the whole data provided, but only 50 record of each query's result are printed just to show a subset of results and also save space.
-----------------------------
Testing the functions and printing their results:
1.Sorting Blocks by Gas Used increasing:
block hash	block number	size	time stamp	total difficulty	miner	gas limit	gas used
0x7b5ba22d6c6b690e53556cb1331f856b96ad50d44ac49ce565ae97b49f80533f	3110210	0xf402704d3b6c98850a6a47365cb99ec930f8b819	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	0xa611ea3fbe7f6696c7d17bb0608dc0392c7fb0be	1000000	0x6a316b3396c42503330bf1a33a4ae2323e230be3f7729e2effa63ffd296c3b49	43	0 
 
0xb0bdf99c3f4799dadb1a8cb88ac08017c6dc9b10d051c9f5c42b1b8c2c05cae8	3110404	0x741c2a446cff5b5793610d503a08e00cb1587ce6	null	null	3000000	0x2ff31d2cf2af2866c1f272d2a77491aa9ff126a9a9282455cac845f133273cec	7	0 
 
0xcfac74d5a5feb0ec294fed196217f944d91e1d331189185c0702e2ffe4e28d7d	3110415	0x000e8c926dc29f89a02ef8a0fa90352b1e54f717	0x944dc87decb32fb80e3f568676da73bfcd23fd75	0x944dc87decb32fb80e3f568676da73bfcd23fd75	59547888	0xee931662818903ce3605b1fabef54cb8648f6105e284c422bdc413c702e0c225	10	0 
 
0xf75f5c26810d4b5fbd4e08f015d401b0c43e233fe2badc1d43b45108eb81e3b1	3110203	0xbc7779a833e05bae52a4e85f65ddf88d5c220407	0x9323846ab2bd5a3ad40efef61a5fefe732f9c2e4	0x9323846ab2bd5a3ad40efef61a5fefe732f9c2e4	100000000	0xb3e0b81fb015a87b14a0d5bde0a01d759d2c61489a068e6892b75998c722c032	7	0 
 
0x942a5e7ab48a6ef418729678849ad308df15e5503627c7752472e0f44a8da91f	3110620	0xbc7779a833e05bae52a4e85f65ddf88d5c220407	0x9323846ab2bd5a3ad40efef61a5fefe732f9c2e4	0x9323846ab2bd5a3ad40efef61a5fefe732f9c2e4	100000000	0x7b103041e8edb00d4922a7bf2cf78b959358c2683031311a469ef2bd8c7c9a75	10	0 
 
0xf6b13aa20c17a3c64a4411c531b37e66f9eb69269f5aae23b0521d2615e91037	3110536	0xbc7779a833e05bae52a4e85f65ddf88d5c220407	0x9323846ab2bd5a3ad40efef61a5fefe732f9c2e4	0x9323846ab2bd5a3ad40efef61a5fefe732f9c2e4	100000000	0xd2fad067ba029dec806aea85cfa56bed309ad339c3b26ab5c1eec97347aad28b	12	0 
 
0x73fa724d445f050a966560585141b6663f9e97f728422a8650a9b0210a7ebaff	3110532	0xbc7779a833e05bae52a4e85f65ddf88d5c220407	0x9323846ab2bd5a3ad40efef61a5fefe732f9c2e4	0x9323846ab2bd5a3ad40efef61a5fefe732f9c2e4	100000000	0xecc32a90381ed7a2bf1eabf21165b1438c83bac9d9ee4db32660b8dd82de6293	13	0 
 
0x7610323294315653740c2324acc86b1a41b1efd5dade7a53921d64dd81268205	3110540	0xbc7779a833e05bae52a4e85f65ddf88d5c220407	0x9323846ab2bd5a3ad40efef61a5fefe732f9c2e4	0x9323846ab2bd5a3ad40efef61a5fefe732f9c2e4	100000000	0x961070584a97fe79176ee78650c8db701ca28dd25ef9372fb09419941e087e43	13	0 
 
